time,center_ci,center_cs,center_cv,center_xi,center_xv
3.46e-06,3.4485027155499e-08,1,3.4496978214693e-08,0.094378154587739,0.094410862084444
3.47e-06,3.4584064487497e-08,1,3.4596084615281e-08,0.094649198614677,0.094682095137363
3.48e-06,3.4683096488063e-08,1,3.4695185882504e-08,0.094920228050621,0.094953314141356
3.49e-06,3.4782123142775e-08,1,3.4794282001932e-08,0.095191242856109,0.095224519056934
3.5e-06,3.488114443722e-08,1,3.4893372959138e-08,0.095462242991687,0.095495709844614
3.51e-06,3.4980160356983e-08,1,3.4992458739699e-08,0.095733228417911,0.095766886464921
3.52e-06,3.5079170887656e-08,1,3.5091539329194e-08,0.096004199095344,0.096038048878389
3.53e-06,3.5178176014831e-08,1,3.5190614713206e-08,0.096275154984559,0.096309197045562
3.54e-06,3.5277175724105e-08,1,3.528968487732e-08,0.096546096046136,0.096580330926989
3.55e-06,3.5376170001078e-08,1,3.5388749807126e-08,0.096817022240665,0.096851450483232
3.56e-06,3.5475158831353e-08,1,3.5487809488215e-08,0.097087933528743,0.097122555674858
3.57e-06,3.5574142200535e-08,1,3.5586863906182e-08,0.097358829870979,0.097393646462445
3.58e-06,3.5673120094235e-08,1,3.5685913046627e-08,0.097629711227987,0.097664722806578
3.59e-06,3.5772092498063e-08,1,3.5784956895149e-08,0.097900577560391,0.097935784667851
3.6e-06,3.5871059397637e-08,1,3.5883995437354e-08,0.098171428828825,0.098206832006867
3.61e-06,3.5970020778575e-08,1,3.598302865885e-08,0.09844226499393,0.098477864784238
3.62e-06,3.6068976626498e-08,1,3.6082056545248e-08,0.098713086016356,0.098748882960584
3.63e-06,3.6167926927032e-08,1,3.6181079082161e-08,0.098983891856764,0.099019886496534
3.64e-06,3.6266871665806e-08,1,3.6280096255208e-08,0.099254682475822,0.099290875352727
3.65e-06,3.6365810828452e-08,1,3.6379108050008e-08,0.099525457834206,0.099561849489807
3.66e-06,3.6464744400603e-08,1,3.6478114452186e-08,0.099796217892602,0.099832808868432
3.67e-06,3.6563672367899e-08,1,3.6577115447368e-08,0.10006696261171,0.10010375344926
3.68e-06,3.6662594715981e-08,1,3.6676111021185e-08,0.10033769195222,0.10037468319298
3.69e-06,3.6761511430493e-08,1,3.6775101159271e-08,0.10060840587486,0.10064559806026
3.7e-06,3.6860422497084e-08,1,3.6874085847261e-08,0.10087910434034,0.10091649801179
3.71e-06,3.6959327901405e-08,1,3.6973065070796e-08,0.1011497873094,0.10118738300827
3.72e-06,3.7058227629111e-08,1,3.707203881552e-08,0.10142045474278,0.10145825301042
3.73e-06,3.7157121665859e-08,1,3.7171007067079e-08,0.10169110660122,0.10172910797895
